Brand,Nama Produk,Harga Asli,Harga Diskon,Diskon Persen,Link,Gambar,Material Atas,Material Dalam,Material Sol,Pengikat
Nike,Court Vision Low Next Nature Shoes,Rp 799.000,,,https://www.zalora.co.id/p/nike-court-vision-low-next-nature-shoes-beige-4904240,https://dynamic.zacdn.com/lunSS20NHWAgBBdmQtkGOOjhzLc=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-0923-0424094-1.jpg,: Polyurethane,: Textile,: Rubber,: Tali
Nike,Air Max Alpha Trainer 6 Workout Shoes,Rp 1.399.000,Rp 1.189.150,-15%,https://www.zalora.co.id/p/nike-air-max-alpha-trainer-6-workout-shoes-black-4673987,https://dynamic.zacdn.com/PHZnCURyUPUUXgetg-op0xRA3Hs=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1604-7893764-1.jpg,: Mesh,: Textile,: Rubber,: Tali
Nike,Journey Run Road Running Shoes,Rp 1.399.000,,-20%,https://www.zalora.co.id/p/nike-journey-run-road-running-shoes-black-4432605,https://dynamic.zacdn.com/FQkA6Pkg0VvyoFK-Jfp2wmp8w20=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-8830-5062344-1.jpg,: Mesh/Synthetic,: Textile,: Rubber,: Tali
Nike,Court Vision Low Shoes,Rp 1.199.000,Rp 959.200,-20%,https://www.zalora.co.id/p/nike-court-vision-low-shoes-black-4674538,https://dynamic.zacdn.com/LCBbjVs-74OpIrpQUiIpjUWKQJs=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-7611-8354764-1.jpg,: Synthetic,: Textile,: Rubber,-
Nike,Air Max SC Leather Shoes,Rp 1.099.000,Rp 824.250,-25%,https://www.zalora.co.id/p/nike-air-max-sc-leather-shoes-white-3757815,https://dynamic.zacdn.com/OgDx6r1LtX5JLVSEFBqiEnOXEyg=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-4679-5187573-1.jpg,: Leather,: Textile,: Rubber,-
Nike,Air Max Excee Shoes,Rp 1.279.000,,,https://www.zalora.co.id/p/nike-air-max-excee-shoes-black-2307434,https://dynamic.zacdn.com/Lf_kTKLB1cP6BfA0ZeOje_BxhC4=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-7955-4347032-1.jpg,: Mesh/Leather/Synthetic,: Textile,: Rubber,-
Nike,Terra Manta Shoes,Rp 1.299.000,Rp 1.104.150,-15%,https://www.zalora.co.id/p/nike-terra-manta-shoes-green-4788249,https://dynamic.zacdn.com/NzcR2E47aiivdlLQBko0SpHN6Uo=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1166-9428874-1.jpg,: Textile/Synthetic,: Textile,: Rubber,: Tali
Nike,Air Max Portal Shoes,Rp 1.808.940,,,https://www.zalora.co.id/p/nike-air-max-portal-shoes-multi-4996967,https://dynamic.zacdn.com/fTC0JsBUnb3nBrLmhkNEk0qdVFM=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1617-7696994-1.jpg,": Textile, Synthetic",: Textile,: Rubber,-
Nike,Men's Road Running Shoes,Rp 1.549.000,Rp 1.161.750,-25%,https://www.zalora.co.id/p/nike-men-s-road-running-shoes-red-4788374,https://dynamic.zacdn.com/-wl-hUPZXOVo6QGwbOmVC2z9hiU=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-8637-4738874-1.jpg,: Knit,: Tekstil,: Rubber,: Tali
Nike,Initiator Shoes,Rp 1.299.000,,,https://www.zalora.co.id/p/nike-initiator-shoes-white-4432944,https://dynamic.zacdn.com/ajNuszi57rqFzwx9Y3TUXBxcxb0=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/nike-1661-4492344-1.jpg,": Mesh, Synthetic",: Textile,: Rubber,: Tali
