Brand,Nama Produk,Harga Asli,Harga Diskon,Diskon Persen,Link,Gambar,Material Atas,Material Dalam,Material Sol,Pengikat
ADIDAS,Handball Spezial Shoes,Rp 1.700.000,,,https://www.zalora.co.id/p/adidas-handball-spezial-shoes-black-4793506,https://dynamic.zacdn.com/lZEL_OjxMeYFEXrs7tpSM4I6o9Y=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-8411-6053974-1.jpg,": Textile, Leather",: Textile,: Rubber,: Tali
ADIDAS,Rivalry Low Shoes,Rp 1.730.000,,,https://www.zalora.co.id/p/adidas-rivalry-low-shoes-black-4404179,https://dynamic.zacdn.com/QlHLHXRI4OrZIsR36WD8WaO87is=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-9251-9714044-1.jpg,: Leather/Synthetic Leather,: Textile,: Rubber,: Tali
ADIDAS,samba og shoes,Rp 1.800.000,Rp 1.440.000,-20%,https://www.zalora.co.id/p/adidas-samba-og-shoes-white-4493244,https://dynamic.zacdn.com/a7J-EjQ9K_9aCpt5RAM1AoE-iA4=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-5717-4423944-1.jpg,: Synthetic/Leather,: Textile,: Gum Rubber,: Tali
ADIDAS,Samba OG Shoes,Rp 2.000.000,,,https://www.zalora.co.id/p/adidas-samba-og-shoes-beige-4793988,https://dynamic.zacdn.com/9qaa77tXxah9ml9PVn-p6rtJ4-s=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-7726-8893974-1.jpg,: Leather,: Textile,: Rubber,: Tali
ADIDAS,response cl shoes,Rp 2.200.000,Rp 1.056.000,-52%,https://www.zalora.co.id/p/adidas-response-cl-shoes-blue-4404115,https://dynamic.zacdn.com/LXBNpZLAob1_DF5OFUAyycg1KbI=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-3655-5114044-1.jpg,: Mesh/Leather,: Textile,: Rubber,: Tali
ADIDAS,handball spezial shoes,Rp 1.700.000,,,https://www.zalora.co.id/p/adidas-handball-spezial-shoes-blue-4148419,https://dynamic.zacdn.com/sBhViOjHSKvQvVV7A-BOSwRxjNU=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-3537-9148414-1.jpg,: Pigskin Leather,: Textile,: Rubber,: Tali
ADIDAS,Superstar Mule Shoes,Rp 1.200.000,Rp 924.000,-23%,https://www.zalora.co.id/p/adidas-superstar-mule-shoes-black-4404034,https://dynamic.zacdn.com/S9OHw3ixEyR7DgdaY7Twzj4aI8A=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-0431-4304044-1.jpg,: Synthetic,: Synthetic,: Synthetic,-
ADIDAS,gazelle shoes,Rp 1.700.000,Rp 969.000,-43%,https://www.zalora.co.id/p/adidas-gazelle-shoes-green-4493246,https://dynamic.zacdn.com/fAr_XmrBQ5Y59C7rCMSqU9ZZGcE=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-5647-6423944-1.jpg,: Suede,: Textile,: Rubber,: Tali
ADIDAS,Samba Og Shoes,Rp 2.000.000,,,https://www.zalora.co.id/p/adidas-samba-og-shoes-black-4404153,https://dynamic.zacdn.com/vUOn4pC6qtByoAnddrsBJ1XfaHA=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-8478-3514044-1.jpg,": Leather, Suede",: Textile,: Rubber,: Tali
ADIDAS,handball spezial shoes,Rp 1.700.000,,,https://www.zalora.co.id/p/adidas-handball-spezial-shoes-pink-4148761,https://dynamic.zacdn.com/1vGP_RMOIBIDK8xf475HqkfTZAI=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/adidas-1616-1678414-1.jpg,: Suede,: Textile,: Rubber,: Tali
